antigenicity_score,antigen_prediction
0.6324,Probable Antigen
-0.0413,Probable Non-Antigen
-0.2678,Probable Non-Antigen
0.8216,Probable Antigen
0.3053,Probable Non-Antigen
0.4407,Probable Non-Antigen
0.6428,Probable Antigen
0.5864,Probable Antigen
0.8311,Probable Antigen
0.7112,Probable Antigen
0.8264,Probable Antigen
0.5669,Probable Antigen
-0.3655,Probable Non-Antigen
-0.1743,Probable Non-Antigen
0.0616,Probable Non-Antigen
-0.0389,Probable Non-Antigen
0.0429,Probable Non-Antigen
1.8034,Probable Antigen
1.0272,Probable Antigen
0.968,Probable Antigen
0.7247,Probable Antigen
-0.0533,Probable Non-Antigen
0.076,Probable Non-Antigen
2.4429,Probable Antigen
0.7679,Probable Antigen
0.939,Probable Antigen
1.639,Probable Antigen
0.8148,Probable Antigen
0.1541,Probable Non-Antigen
0.1114,Probable Non-Antigen
0.4033,Probable Non-Antigen
0.5206,Probable Antigen
-0.6775,Probable Non-Antigen
0.2505,Probable Non-Antigen
0.4307,Probable Non-Antigen
0.2904,Probable Non-Antigen
0.4282,Probable Non-Antigen
-0.5347,Probable Non-Antigen
0.1232,Probable Non-Antigen
-0.148,Probable Non-Antigen
0.0111,Probable Non-Antigen
-0.0833,Probable Non-Antigen
0.2687,Probable Non-Antigen
-0.091,Probable Non-Antigen
-0.3171,Probable Non-Antigen
-0.2994,Probable Non-Antigen
0.7744,Probable Antigen
0.7485,Probable Antigen
-0.0894,Probable Non-Antigen
0.7216,Probable Antigen
0.0317,Probable Non-Antigen
0.4821,Probable Non-Antigen
0.5528,Probable Antigen
0.0915,Probable Non-Antigen
-1.5175,Probable Non-Antigen
0.824,Probable Antigen
0.8243,Probable Antigen
0.0809,Probable Non-Antigen
0.3271,Probable Non-Antigen
0.5561,Probable Antigen
0.9009,Probable Antigen
1.694,Probable Antigen
0.1315,Probable Non-Antigen
1.0681,Probable Antigen
0.5789,Probable Antigen
1.1143,Probable Antigen
-0.3099,Probable Non-Antigen
0.2783,Probable Non-Antigen
-0.6555,Probable Non-Antigen
0.3328,Probable Non-Antigen
0.5468,Probable Antigen
-0.1142,Probable Non-Antigen
-0.3944,Probable Non-Antigen
0.2479,Probable Non-Antigen
0.4035,Probable Non-Antigen
1.2164,Probable Antigen
0.6729,Probable Antigen
0.1415,Probable Non-Antigen
